lead_code,call_type,disposition,duration,start_time,transcript_json
LDSMFG_152127,BOT,NO_ANSWER,144,2025-01-12,{}
LDSMFG_160204,BOT,NO_ANSWER,277,2025-01-12,{}
LDSMFG_155483,BOT,BUSY,210,2025-01-17,{}
LDSMFG_148559,BOT,NO_ANSWER,116,2025-01-18,{}
LDSMFG_168212,BOT,NO_ANSWER,246,2025-01-30,{}
LDSMFG_188605,BOT,ANSWERED,266,2025-01-19,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_104598,BOT,NO_ANSWER,21,2025-01-27,{}
LDSMFG_185687,BOT,NO_ANSWER,120,2025-01-03,{}
LDSMFG_155333,BOT,NO_ANSWER,189,2025-01-09,{}
LDSMFG_170609,BOT,ANSWERED,39,2025-01-06,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_164618,BOT,NO_ANSWER,214,2025-01-21,{}
LDSMFG_127079,BOT,NO_ANSWER,140,2025-01-09,{}
LDSMFG_172522,BOT,NO_ANSWER,76,2025-01-28,{}
LDSMFG_129429,BOT,NO_ANSWER,0,2025-01-03,{}
LDSMFG_164824,BOT,NO_ANSWER,298,2025-01-19,{}
LDSMFG_181673,BOT,BUSY,257,2025-01-08,{}
LDSMFG_103314,BOT,NO_ANSWER,73,2025-01-16,{}
LDSMFG_118875,BOT,NO_ANSWER,286,2025-01-01,{}
LDSMFG_114021,BOT,NO_ANSWER,80,2025-01-20,{}
LDSMFG_141628,BOT,NO_ANSWER,23,2025-01-13,{}
LDSMFG_132771,BOT,NO_ANSWER,111,2025-01-02,{}
LDSMFG_113283,BOT,NO_ANSWER,67,2025-01-26,{}
LDSMFG_174231,BOT,ANSWERED,230,2025-01-13,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_100976,BOT,NO_ANSWER,291,2025-01-05,{}
LDSMFG_119535,BOT,NO_ANSWER,24,2025-01-13,{}
LDSMFG_122225,BOT,ANSWERED,245,2025-01-29,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_137194,BOT,NO_ANSWER,126,2025-01-09,{}
LDSMFG_138165,BOT,NO_ANSWER,61,2025-01-22,{}
LDSMFG_168742,BOT,BUSY,141,2025-01-23,{}
LDSMFG_120556,BOT,NO_ANSWER,102,2025-01-29,{}
LDSMFG_100889,BOT,NO_ANSWER,19,2025-01-30,{}
LDSMFG_108050,BOT,NO_ANSWER,54,2025-01-07,{}
LDSMFG_198591,BOT,ANSWERED,180,2025-01-21,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_199772,BOT,ANSWERED,32,2025-01-22,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_121144,BOT,NO_ANSWER,232,2025-01-14,{}
LDSMFG_114589,BOT,NO_ANSWER,112,2025-01-27,{}
LDSMFG_100046,BOT,NO_ANSWER,12,2025-01-19,{}
LDSMFG_128761,BOT,NO_ANSWER,123,2025-01-15,{}
LDSMFG_107222,BOT,NO_ANSWER,205,2025-01-01,{}
LDSMFG_186828,BOT,ANSWERED,198,2025-01-06,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_132602,BOT,NO_ANSWER,290,2025-01-08,{}
LDSMFG_114319,BOT,BUSY,35,2025-01-05,{}
LDSMFG_120887,BOT,BUSY,279,2025-01-27,{}
LDSMFG_168240,BOT,NO_ANSWER,182,2025-01-02,{}
LDSMFG_162559,BOT,NO_ANSWER,192,2025-01-04,{}
LDSMFG_123529,BOT,ANSWERED,53,2025-01-20,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_149731,BOT,NO_ANSWER,270,2025-01-05,{}
LDSMFG_122390,BOT,ANSWERED,31,2025-01-05,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_161126,BOT,NO_ANSWER,144,2025-01-19,{}
LDSMFG_194147,BOT,NO_ANSWER,280,2025-01-14,{}
LDSMFG_108323,BOT,NO_ANSWER,145,2025-01-21,{}
LDSMFG_155480,BOT,NO_ANSWER,172,2025-01-25,{}
LDSMFG_160982,BOT,NO_ANSWER,216,2025-01-10,{}
LDSMFG_114730,BOT,NO_ANSWER,238,2025-01-03,{}
LDSMFG_134541,BOT,NO_ANSWER,233,2025-01-17,{}
LDSMFG_177236,BOT,NO_ANSWER,175,2025-01-14,{}
LDSMFG_140000,BOT,NO_ANSWER,72,2025-01-24,{}
LDSMFG_155195,BOT,NO_ANSWER,150,2025-01-15,{}
LDSMFG_177176,BOT,ANSWERED,189,2025-01-28,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_148761,BOT,ANSWERED,182,2025-01-13,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_196026,BOT,ANSWERED,115,2025-01-23,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_122825,BOT,NO_ANSWER,87,2025-01-15,{}
LDSMFG_185485,BOT,ANSWERED,52,2025-01-24,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_141892,BOT,NO_ANSWER,137,2025-01-29,{}
LDSMFG_137151,BOT,NO_ANSWER,218,2025-01-06,{}
LDSMFG_176907,BOT,ANSWERED,248,2025-01-14,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_117556,BOT,NO_ANSWER,158,2025-01-09,{}
LDSMFG_116898,BOT,NO_ANSWER,271,2025-01-08,{}
LDSMFG_112191,BOT,ANSWERED,43,2025-01-06,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_137575,BOT,ANSWERED,249,2025-01-30,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_152020,BOT,NO_ANSWER,157,2025-01-02,{}
LDSMFG_177487,BOT,NO_ANSWER,284,2025-01-07,{}
LDSMFG_190111,BOT,ANSWERED,56,2025-01-17,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_130568,BOT,BUSY,167,2025-01-23,{}
LDSMFG_144564,BOT,ANSWERED,223,2025-01-24,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_139446,BOT,BUSY,231,2025-01-18,{}
LDSMFG_191771,BOT,NO_ANSWER,294,2025-01-03,{}
LDSMFG_160915,BOT,NO_ANSWER,180,2025-01-28,{}
LDSMFG_146903,BOT,ANSWERED,20,2025-01-02,{}
LDSMFG_132794,BOT,ANSWERED,99,2025-01-25,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_113075,BOT,NO_ANSWER,216,2025-01-22,{}
LDSMFG_115123,BOT,ANSWERED,184,2025-01-14,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_123378,BOT,NO_ANSWER,127,2025-01-29,{}
LDSMFG_124632,BOT,NO_ANSWER,157,2025-01-10,{}
LDSMFG_161290,BOT,NO_ANSWER,105,2025-01-15,{}
LDSMFG_115950,BOT,NO_ANSWER,221,2025-01-08,{}
LDSMFG_113001,BOT,NO_ANSWER,46,2025-01-10,{}
LDSMFG_188808,BOT,NO_ANSWER,62,2025-01-08,{}
LDSMFG_112783,BOT,NO_ANSWER,165,2025-01-27,{}
LDSMFG_116621,BOT,NO_ANSWER,250,2025-01-27,{}
LDSMFG_191216,BOT,NO_ANSWER,273,2025-01-29,{}
LDSMFG_133973,BOT,BUSY,262,2025-01-20,{}
LDSMFG_152036,BOT,NO_ANSWER,188,2025-01-14,{}
LDSMFG_133530,BOT,BUSY,30,2025-01-01,{}
LDSMFG_174864,BOT,ANSWERED,287,2025-01-09,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_192008,BOT,NO_ANSWER,135,2025-01-05,{}
LDSMFG_150897,BOT,NO_ANSWER,250,2025-01-30,{}
LDSMFG_171462,BOT,NO_ANSWER,159,2025-01-11,{}
LDSMFG_181564,BOT,ANSWERED,1,2025-01-16,{}
LDSMFG_106398,BOT,NO_ANSWER,143,2025-01-09,{}
LDSMFG_192064,BOT,NO_ANSWER,40,2025-01-27,{}
LDSMFG_145679,BOT,NO_ANSWER,237,2025-01-01,{}
LDSMFG_116414,BOT,ANSWERED,164,2025-01-18,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_156102,BOT,NO_ANSWER,88,2025-01-10,{}
LDSMFG_177021,BOT,NO_ANSWER,158,2025-01-13,{}
LDSMFG_105756,BOT,NO_ANSWER,172,2025-01-12,{}
LDSMFG_162823,BOT,NO_ANSWER,290,2025-01-19,{}
LDSMFG_177903,BOT,ANSWERED,263,2025-01-23,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_189196,BOT,NO_ANSWER,104,2025-01-15,{}
LDSMFG_144967,BOT,ANSWERED,23,2025-01-23,{}
LDSMFG_182735,BOT,BUSY,81,2025-01-28,{}
LDSMFG_170431,BOT,NO_ANSWER,31,2025-01-29,{}
LDSMFG_129814,BOT,ANSWERED,81,2025-01-25,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_147987,BOT,NO_ANSWER,100,2025-01-22,{}
LDSMFG_100627,BOT,NO_ANSWER,7,2025-01-11,{}
LDSMFG_144439,BOT,NO_ANSWER,158,2025-01-14,{}
LDSMFG_170289,BOT,ANSWERED,68,2025-01-18,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_136173,BOT,BUSY,109,2025-01-18,{}
LDSMFG_196257,BOT,NO_ANSWER,115,2025-01-09,{}
LDSMFG_107183,BOT,ANSWERED,161,2025-01-20,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_173006,BOT,BUSY,32,2025-01-03,{}
LDSMFG_138018,BOT,NO_ANSWER,81,2025-01-26,{}
LDSMFG_107532,BOT,NO_ANSWER,277,2025-01-05,{}
LDSMFG_191200,BOT,NO_ANSWER,11,2025-01-21,{}
LDSMFG_125941,BOT,NO_ANSWER,264,2025-01-22,{}
LDSMFG_168008,BOT,NO_ANSWER,197,2025-01-12,{}
LDSMFG_175474,BOT,ANSWERED,279,2025-01-04,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_181470,BOT,NO_ANSWER,163,2025-01-26,{}
LDSMFG_148009,BOT,ANSWERED,93,2025-01-13,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_175585,BOT,ANSWERED,58,2025-01-23,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_151848,BOT,BUSY,126,2025-01-12,{}
LDSMFG_159944,BOT,NO_ANSWER,220,2025-01-27,{}
LDSMFG_104740,BOT,BUSY,103,2025-01-13,{}
LDSMFG_136497,BOT,NO_ANSWER,50,2025-01-16,{}
LDSMFG_117538,BOT,ANSWERED,13,2025-01-14,{}
LDSMFG_177348,BOT,ANSWERED,115,2025-01-23,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_182936,BOT,NO_ANSWER,234,2025-01-14,{}
LDSMFG_138154,BOT,NO_ANSWER,293,2025-01-08,{}
LDSMFG_139743,BOT,NO_ANSWER,210,2025-01-15,{}
LDSMFG_127543,BOT,NO_ANSWER,99,2025-01-27,{}
LDSMFG_193944,BOT,NO_ANSWER,11,2025-01-16,{}
LDSMFG_116996,BOT,NO_ANSWER,182,2025-01-18,{}
LDSMFG_139422,BOT,BUSY,260,2025-01-16,{}
LDSMFG_135467,BOT,NO_ANSWER,150,2025-01-13,{}
LDSMFG_124628,BOT,ANSWERED,298,2025-01-24,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_151326,BOT,NO_ANSWER,39,2025-01-11,{}
LDSMFG_111346,BOT,BUSY,182,2025-01-25,{}
LDSMFG_145510,BOT,NO_ANSWER,94,2025-01-20,{}
LDSMFG_126568,BOT,NO_ANSWER,27,2025-01-18,{}
LDSMFG_110441,BOT,BUSY,93,2025-01-25,{}
LDSMFG_134688,BOT,BUSY,19,2025-01-02,{}
LDSMFG_185567,BOT,NO_ANSWER,127,2025-01-13,{}
LDSMFG_195912,BOT,ANSWERED,218,2025-01-13,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_178709,BOT,NO_ANSWER,129,2025-01-12,{}
LDSMFG_180615,BOT,BUSY,257,2025-01-24,{}
LDSMFG_184908,BOT,ANSWERED,31,2025-01-20,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_114670,BOT,ANSWERED,188,2025-01-08,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_197307,BOT,ANSWERED,183,2025-01-28,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_103749,BOT,ANSWERED,134,2025-01-19,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_112428,BOT,NO_ANSWER,1,2025-01-17,{}
LDSMFG_152793,BOT,NO_ANSWER,170,2025-01-03,{}
LDSMFG_172185,BOT,NO_ANSWER,255,2025-01-07,{}
LDSMFG_138292,BOT,NO_ANSWER,22,2025-01-18,{}
LDSMFG_163556,BOT,ANSWERED,269,2025-01-03,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_153767,BOT,NO_ANSWER,114,2025-01-30,{}
LDSMFG_149738,BOT,NO_ANSWER,270,2025-01-16,{}
LDSMFG_142235,BOT,NO_ANSWER,170,2025-01-29,{}
LDSMFG_109382,BOT,NO_ANSWER,299,2025-01-08,{}
LDSMFG_153068,BOT,NO_ANSWER,223,2025-01-21,{}
LDSMFG_141997,BOT,NO_ANSWER,215,2025-01-28,{}
LDSMFG_186751,BOT,NO_ANSWER,274,2025-01-14,{}
LDSMFG_133503,BOT,NO_ANSWER,222,2025-01-17,{}
LDSMFG_144830,BOT,NO_ANSWER,110,2025-01-19,{}
LDSMFG_135177,BOT,NO_ANSWER,223,2025-01-24,{}
LDSMFG_114553,BOT,NO_ANSWER,93,2025-01-18,{}
LDSMFG_142022,BOT,ANSWERED,231,2025-01-17,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_185219,BOT,NO_ANSWER,289,2025-01-03,{}
LDSMFG_180231,BOT,NO_ANSWER,279,2025-01-15,{}
LDSMFG_111462,BOT,ANSWERED,4,2025-01-07,{}
LDSMFG_166757,BOT,NO_ANSWER,287,2025-01-16,{}
LDSMFG_143624,BOT,ANSWERED,171,2025-01-03,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_187476,BOT,NO_ANSWER,46,2025-01-04,{}
LDSMFG_161825,BOT,BUSY,11,2025-01-04,{}
LDSMFG_147636,BOT,ANSWERED,40,2025-01-22,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_139224,BOT,ANSWERED,173,2025-01-26,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_164276,BOT,ANSWERED,83,2025-01-08,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_189863,BOT,NO_ANSWER,150,2025-01-14,{}
LDSMFG_163023,BOT,ANSWERED,247,2025-01-18,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_173608,BOT,ANSWERED,224,2025-01-28,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_158252,BOT,NO_ANSWER,186,2025-01-14,{}
LDSMFG_108509,BOT,NO_ANSWER,238,2025-01-10,{}
LDSMFG_164117,BOT,BUSY,298,2025-01-13,{}
LDSMFG_145030,BOT,NO_ANSWER,142,2025-01-04,{}
LDSMFG_170959,BOT,ANSWERED,109,2025-01-17,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_197988,BOT,ANSWERED,215,2025-01-30,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_159060,BOT,NO_ANSWER,121,2025-01-18,{}
LDSMFG_164069,BOT,NO_ANSWER,31,2025-01-07,{}
LDSMFG_175445,BOT,ANSWERED,278,2025-01-28,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_120014,BOT,ANSWERED,273,2025-01-26,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_175559,BOT,NO_ANSWER,292,2025-01-22,{}
LDSMFG_190495,BOT,NO_ANSWER,261,2025-01-01,{}
LDSMFG_119119,BOT,ANSWERED,215,2025-01-12,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_117939,BOT,NO_ANSWER,84,2025-01-12,{}
LDSMFG_157475,BOT,ANSWERED,269,2025-01-04,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_102023,BOT,ANSWERED,183,2025-01-16,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_110887,BOT,NO_ANSWER,90,2025-01-19,{}
LDSMFG_126028,BOT,ANSWERED,110,2025-01-08,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_197918,BOT,NO_ANSWER,264,2025-01-16,{}
LDSMFG_176108,BOT,ANSWERED,248,2025-01-29,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_178666,BOT,ANSWERED,55,2025-01-17,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_193756,BOT,NO_ANSWER,72,2025-01-24,{}
LDSMFG_165972,BOT,BUSY,266,2025-01-18,{}
LDSMFG_174577,BOT,ANSWERED,230,2025-01-18,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_162446,BOT,NO_ANSWER,213,2025-01-29,{}
LDSMFG_144996,BOT,NO_ANSWER,214,2025-01-06,{}
LDSMFG_157486,BOT,ANSWERED,69,2025-01-24,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_180282,BOT,ANSWERED,29,2025-01-09,{}
LDSMFG_115026,BOT,ANSWERED,34,2025-01-29,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_116743,BOT,ANSWERED,247,2025-01-30,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_199808,BOT,BUSY,93,2025-01-30,{}
